match_uid,round_id,stage,date,home_team,away_team,pred_home,pred_away,xg_home,xg_away,p_home,p_draw,p_away,p_over25,p_under25,p_over35,p_under35,elo_retrieved_date,model_version
GRP|Mexico|South Africa,G1,Group A,2026-06-12,Mexico,South Africa,2,0,1.58,0.42,0.664033596640336,0.2408759124087591,0.0950904909509049,0.3244,0.6756,0.1436,0.8564,2026-06-11,f358167
GRP|Czechia|South Korea,G1,Group A,2026-06-12,South Korea,Czechia,0,1,1.34,1.41,0.3557,0.2551,0.3892,0.5193,0.4807,0.2977,0.7023,2026-06-11,f358167
GRP|Bosnia and Herzegovina|Canada,G1,Group B,2026-06-13,Canada,Bosnia and Herzegovina,2,1,1.63,0.79,0.5755575557555755,0.2454245424542454,0.179017901790179,0.4361,0.5639,0.2259,0.7741,2026-06-11,f358167
GRP|Qatar|Switzerland,G1,Group B,2026-06-14,Qatar,Switzerland,1,3,0.69,2.73,0.0694,0.1303,0.8003,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167
GRP|Brazil|Morocco,G1,Group C,2026-06-14,Brazil,Morocco,1,0,1.27,0.9,0.4472,0.2875,0.2653,0.3689,0.6311,0.1746,0.8254,2026-06-11,f358167
GRP|Haiti|Scotland,G1,Group C,2026-06-14,Haiti,Scotland,1,2,0.65,1.7,0.1383,0.2334,0.6283,0.4178,0.5822,0.2114,0.7886,2026-06-11,f358167
GRP|Paraguay|United States,G1,Group D,2026-06-13,United States,Paraguay,0,1,0.99,1.22,0.2987,0.2883,0.413,0.3791,0.6209,0.182,0.818,2026-06-11,f358167
GRP|Australia|Turkey,G1,Group D,2026-06-14,Australia,Turkey,0,1,1.08,1.4,0.2903290329032903,0.267026702670267,0.4426442644264426,0.4512,0.5488,0.2383,0.7617,2026-06-11,f358167
GRP|Curaçao|Germany,G1,Group E,2026-06-15,Germany,Curaçao,3,0,3.01,0.41,0.8839,0.0876,0.0285,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167
GRP|Ecuador|Ivory Coast,G1,Group E,2026-06-15,Ivory Coast,Ecuador,0,1,0.86,1.24,0.259,0.2925,0.4485,0.3507,0.6493,0.1616,0.8384,2026-06-11,f358167
GRP|Japan|Netherlands,G1,Group F,2026-06-15,Netherlands,Japan,2,1,1.56,1.09,0.4798,0.2529,0.2673,0.4939,0.5061,0.2748,0.7252,2026-06-11,f358167
GRP|Sweden|Tunisia,G1,Group F,2026-06-15,Sweden,Tunisia,1,0,1.42,0.82,0.5097509750975098,0.272027202720272,0.2182218221822182,0.3875,0.6125,0.1882,0.8118,2026-06-11,f358167
GRP|Belgium|Egypt,G1,Group G,2026-06-16,Belgium,Egypt,2,1,1.61,0.69,0.5971402859714028,0.2462753724627537,0.1565843415658434,0.4033,0.5967,0.2001,0.7999,2026-06-11,f358167
GRP|Iran|New Zealand,G1,Group G,2026-06-16,Iran,New Zealand,2,1,1.7,0.55,0.6567656765676568,0.229022902290229,0.1142114211421142,0.3901,0.6099,0.1902,0.8098,2026-06-11,f358167
GRP|Cape Verde|Spain,G1,Group H,2026-06-16,Spain,Cape Verde,4,0,4.21,0.49,0.9463,0.0402,0.0135,0.848,0.152,0.6909,0.3091,2026-06-11,f358167
GRP|Saudi Arabia|Uruguay,G1,Group H,2026-06-16,Saudi Arabia,Uruguay,0,2,0.44,1.71,0.0899,0.2222,0.6879,0.3639,0.6361,0.1709,0.8291,2026-06-11,f358167
GRP|France|Senegal,G1,Group I,2026-06-17,France,Senegal,2,1,1.8,0.86,0.5958404159584042,0.2277772222777722,0.1763823617638236,0.4986,0.5014,0.279,0.721,2026-06-11,f358167
GRP|Iraq|Norway,G1,Group I,2026-06-17,Iraq,Norway,0,2,0.49,1.96,0.0821917808219178,0.190980901909809,0.7268273172682732,0.4434,0.5566,0.2318,0.7682,2026-06-11,f358167
GRP|Algeria|Argentina,G1,Group J,2026-06-17,Argentina,Algeria,2,1,1.87,0.69,0.6533,0.2149,0.1318,0.4715,0.5285,0.2554,0.7446,2026-06-11,f358167
GRP|Austria|Jordan,G1,Group J,2026-06-17,Austria,Jordan,2,1,1.96,0.94,0.6105,0.2142,0.1753,0.5538,0.4462,0.3302,0.6698,2026-06-11,f358167
GRP|DR Congo|Portugal,G1,Group K,2026-06-18,Portugal,DR Congo,2,1,2.12,0.51,0.7489,0.1744,0.0767,0.4886,0.5114,0.2701,0.7299,2026-06-11,f358167
GRP|Colombia|Uzbekistan,G1,Group K,2026-06-18,Uzbekistan,Colombia,1,2,0.53,2.09,0.0822,0.1788,0.739,0.4883,0.5117,0.2699,0.7301,2026-06-11,f358167
GRP|Croatia|England,G1,Group L,2026-06-18,England,Croatia,2,1,1.58,0.97,0.5153,0.2526,0.2321,0.4676,0.5324,0.252,0.748,2026-06-11,f358167
GRP|Ghana|Panama,G1,Group L,2026-06-18,Ghana,Panama,1,2,1.2,1.63,0.2803,0.2449,0.4748,0.5365,0.4635,0.3137,0.6863,2026-06-11,f358167
GRP|Czechia|South Africa,G2,Group A,2026-06-19,Czechia,South Africa,2,1,1.6,0.71,0.5869000000000001,0.24850000000000003,0.16460000000000002,0.4069,0.5931,0.2029,0.7971,2026-06-18,d0e84bb
GRP|Mexico|South Korea,G2,Group A,2026-06-19,Mexico,South Korea,2,1,1.62,1.17,0.47805219478052197,0.24607539246075394,0.2758724127587241,0.5286,0.4714,0.3062,0.6938,2026-06-18,d0e84bb
GRP|Bosnia and Herzegovina|Switzerland,G2,Group B,2026-06-19,Switzerland,Bosnia and Herzegovina,2,1,2.08,0.81,0.667066706670667,0.1971197119711971,0.1358135813581358,0.5521,0.4479,0.3285,0.6715,2026-06-18,d0e84bb
GRP|Canada|Qatar,G2,Group B,2026-06-19,Canada,Qatar,2,1,2.08,0.75,0.6819,0.1943,0.1238,0.5369,0.4631,0.314,0.686,2026-06-18,d0e84bb
GRP|Morocco|Scotland,G2,Group C,2026-06-20,Scotland,Morocco,0,1,0.84,1.23,0.2522252225222522,0.29452945294529453,0.45324532453245325,0.3415,0.6585,0.1552,0.8448,2026-06-18,d0e84bb
GRP|Brazil|Haiti,G2,Group C,2026-06-20,Brazil,Haiti,3,1,2.62,0.61,0.8024802480248024,0.1331133113311331,0.06440644064406441,0.6278,0.3722,0.4057,0.5943,2026-06-18,d0e84bb
GRP|Australia|United States,G2,Group D,2026-06-20,United States,Australia,0,1,0.94,1.01,0.3242,0.3125,0.3633,0.311,0.689,0.1347,0.8653,2026-06-18,d0e84bb
GRP|Paraguay|Turkey,G2,Group D,2026-06-20,Turkey,Paraguay,1,0,1.4,1.24,0.4085408540854085,0.26062606260626064,0.33083308330833083,0.4909,0.5091,0.2722,0.7278,2026-06-18,d0e84bb
GRP|Germany|Ivory Coast,G2,Group E,2026-06-21,Germany,Ivory Coast,2,1,1.75,0.95,0.5626,0.2351,0.2023,0.5048,0.4952,0.2845,0.7155,2026-06-18,d0e84bb
GRP|Curaçao|Ecuador,G2,Group E,2026-06-21,Ecuador,Curaçao,2,0,2.31,0.39,0.8092,0.1427,0.0481,0.5086,0.4914,0.2879,0.7121,2026-06-18,d0e84bb
GRP|Netherlands|Sweden,G2,Group F,2026-06-21,Netherlands,Sweden,2,1,2.05,0.99,0.6182381761823817,0.206979302069793,0.17478252174782524,0.5853,0.4147,0.3613,0.6387,2026-06-18,d0e84bb
GRP|Japan|Tunisia,G2,Group F,2026-06-21,Tunisia,Japan,1,2,0.72,1.57,0.1701,0.2521,0.5778,0.4021,0.5979,0.1992,0.8008,2026-06-18,d0e84bb
GRP|Belgium|Iran,G2,Group G,2026-06-22,Belgium,Iran,2,1,1.66,0.98,0.5325,0.244,0.2235,0.4931,0.5069,0.2741,0.7259,2026-06-18,d0e84bb
GRP|Egypt|New Zealand,G2,Group G,2026-06-22,New Zealand,Egypt,0,1,0.68,1.17,0.2128,0.3089,0.4783,0.2834,0.7166,0.1172,0.8828,2026-06-18,d0e84bb
GRP|Saudi Arabia|Spain,G2,Group H,2026-06-22,Spain,Saudi Arabia,3,0,2.84,0.41,0.8691,0.0987,0.0322,0.6293,0.3707,0.4074,0.5926,2026-06-18,d0e84bb
GRP|Cape Verde|Uruguay,G2,Group H,2026-06-22,Uruguay,Cape Verde,2,1,1.96,0.58,0.7025,0.1971,0.1004,0.4684,0.5316,0.2527,0.7473,2026-06-18,d0e84bb
GRP|France|Iraq,G2,Group I,2026-06-23,France,Iraq,2,0,2.31,0.29,0.8314,0.134,0.0346,0.4816,0.5184,0.264,0.736,2026-06-18,d0e84bb
GRP|Norway|Senegal,G2,Group I,2026-06-23,Norway,Senegal,1,2,1.37,1.48,0.3503,0.2501,0.3996,0.541,0.459,0.3179,0.6821,2026-06-18,d0e84bb
GRP|Argentina|Austria,G2,Group J,2026-06-23,Argentina,Austria,2,1,2.19,0.76,0.6996300369963003,0.18358164183581643,0.11678832116788321,0.5663,0.4337,0.3423,0.6577,2026-06-18,d0e84bb
GRP|Algeria|Jordan,G2,Group J,2026-06-23,Jordan,Algeria,1,2,0.93,1.67,0.20927907209279073,0.24247575242475752,0.5482451754824518,0.4836,0.5164,0.2658,0.7342,2026-06-18,d0e84bb
GRP|Portugal|Uzbekistan,G2,Group K,2026-06-24,Portugal,Uzbekistan,2,1,2.29,0.65,0.7461,0.1657,0.0882,0.5627,0.4373,0.3388,0.6612,2026-06-18,d0e84bb
GRP|Colombia|DR Congo,G2,Group K,2026-06-24,Colombia,DR Congo,2,0,1.88,0.4,0.7348,0.1946,0.0706,0.4007,0.5993,0.1982,0.8018,2026-06-18,d0e84bb
GRP|England|Ghana,G2,Group L,2026-06-24,England,Ghana,2,0,2.17,0.43,0.7801,0.1607,0.0592,0.4816,0.5184,0.264,0.736,2026-06-18,d0e84bb
GRP|Croatia|Panama,G2,Group L,2026-06-24,Panama,Croatia,1,2,0.92,2.11,0.1525,0.1981,0.6494,0.5833,0.4167,0.3593,0.6407,2026-06-18,d0e84bb
